,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,PromptInput,CustomerFeedback,feedback_length,sentiment
0,7590-vhveg,female,0,yes,no,1,no,no phone service,dsl,no,yes,no,no,no,no,month-to-month,yes,electronic check,29.85,29.85,0,"write a realistic customer feedback based on this profile:
churn: no
tenure: 1 months
contract type: month-to-month
monthly charges: $29.85
internet service: dsl
payment method: electronic check","i have been using the dsl internet service from this provider for the past month and so far, i am satisfied with the service. the connection has been reliable and the speed is sufficient for my needs. the monthly charges are reasonable at $29.85 and i appreciate the convenience of paying through electronic check. overall, i have had a positive experience and would recommend this provider to others.",401,0.12954545454545455
1,5575-gnvde,male,0,no,no,34,yes,no,dsl,yes,no,yes,no,no,no,one year,no,mailed check,56.95,1889.5,0,"write a realistic customer feedback based on this profile:
churn: no
tenure: 34 months
contract type: one year
monthly charges: $56.95
internet service: dsl
payment method: mailed check","i have been a customer with this company for over two and a half years now and i have been very satisfied with their service. the dsl internet has been reliable and the monthly charges are reasonable at $56.95. i prefer to pay by mailing in a check and have never had any issues with my payments. overall, i have no complaints and would recommend this company to others looking for internet service.",399,0.17083333333333334
2,3668-qpybk,male,0,no,no,2,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,yes,mailed check,53.85,108.15,1,"write a realistic customer feedback based on this profile:
churn: yes
tenure: 2 months
contract type: month-to-month
monthly charges: $53.85
internet service: dsl
payment method: mailed check","i recently signed up for dsl internet service with this provider two months ago on a month-to-month contract. unfortunately, i have already decided to churn and switch to a different provider. the monthly charges of $53.85 were reasonable, but i found the internet service to be unreliable and slow. additionally, having to mail in a check for payment was inconvenient and outdated. i would not recommend this provider to others looking for reliable and convenient internet service.",482,-0.22857142857142862
3,7795-cfocw,male,0,no,no,45,no,no phone service,dsl,yes,no,yes,yes,no,no,one year,no,bank transfer (automatic),42.3,1840.75,0,"write a realistic customer feedback based on this profile:
churn: no
tenure: 45 months
contract type: one year
monthly charges: $42.3
internet service: dsl
payment method: bank transfer (automatic)","i have been a loyal customer with this company for 45 months now and i am very satisfied with the service they provide. the monthly charges are reasonable at $42.3 and i appreciate the convenience of automatic bank transfer for payment. the dsl internet service has been reliable and meets my needs. overall, i have had a positive experience with this company and have no plans to churn in the near future.",406,0.21580086580086583
4,9237-hqitu,female,0,no,no,2,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,70.7,151.65,1,"write a realistic customer feedback based on this profile:
churn: yes
tenure: 2 months
contract type: month-to-month
monthly charges: $70.7
internet service: fiber optic
payment method: electronic check","i recently switched to this fiber optic internet service provider two months ago on a month-to-month contract. the monthly charges of $70.7 seemed reasonable at first, but unfortunately i have experienced frequent outages and slow speeds. the payment method of electronic check has been convenient, but i am disappointed with the overall service. i have decided to churn and look for a more reliable internet provider.",418,0.029999999999999992
5,9305-cdskc,female,0,no,no,8,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,99.65,820.5,1,"write a realistic customer feedback based on this profile:
churn: yes
tenure: 8 months
contract type: month-to-month
monthly charges: $99.65
internet service: fiber optic
payment method: electronic check","""i recently decided to churn from this internet service provider after 8 months of being a customer. the monthly charges of $99.65 for fiber optic internet were reasonable, but i found the service to be inconsistent and unreliable. the payment method of electronic check was convenient, but ultimately i was not satisfied with the overall experience. i will be looking for a new provider that can offer more reliable service.""",426,0.08376623376623378
6,1452-kiovk,male,0,no,yes,22,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,credit card (automatic),89.1,1949.4,0,"write a realistic customer feedback based on this profile:
churn: no
tenure: 22 months
contract type: month-to-month
monthly charges: $89.1
internet service: fiber optic
payment method: credit card (automatic)","i have been a customer with this company for 22 months now and have been extremely satisfied with the service. the fiber optic internet service is fast and reliable, and i have had no issues with connectivity. the automatic credit card payment method is convenient and ensures that my bill is always paid on time. the monthly charge of $89.1 is reasonable for the quality of service i receive. overall, i have no complaints and would highly recommend this company to others.",474,0.21199999999999997
7,6713-okomc,female,0,no,no,10,no,no phone service,dsl,yes,no,no,no,no,no,month-to-month,no,mailed check,29.75,301.9,0,"write a realistic customer feedback based on this profile:
churn: no
tenure: 10 months
contract type: month-to-month
monthly charges: $29.75
internet service: dsl
payment method: mailed check","i have been a customer with this company for 10 months now and i am very satisfied with the dsl internet service they provide. the monthly charges are affordable at $29.75 and i appreciate the flexibility of the month-to-month contract. i prefer to pay by mailing a check and have had no issues with the billing process. overall, i have had a positive experience with this company and have no intentions of churning.",416,0.09431818181818183
8,7892-pookp,female,0,yes,no,28,yes,yes,fiber optic,no,no,yes,yes,yes,yes,month-to-month,yes,electronic check,104.8,3046.05,1,"write a realistic customer feedback based on this profile:
churn: yes
tenure: 28 months
contract type: month-to-month
monthly charges: $104.8
internet service: fiber optic
payment method: electronic check","i recently decided to cancel my service after 28 months with the company. while i appreciated the fast and reliable fiber optic internet service provided, i found that the monthly charges of $104.80 were becoming too expensive for my budget. the ability to pay with an electronic check was convenient, but ultimately i had to switch to a more affordable option. i would consider returning in the future if there are more competitive pricing options available.",459,0.175
9,6388-tabgu,male,0,no,yes,62,yes,no,dsl,yes,yes,no,no,no,no,one year,no,bank transfer (automatic),56.15,3487.95,0,"write a realistic customer feedback based on this profile:
churn: no
tenure: 62 months
contract type: one year
monthly charges: $56.15
internet service: dsl
payment method: bank transfer (automatic)","i have been a customer with this dsl provider for over five years now and i have been satisfied with the service overall. the automatic bank transfer for payment has been convenient and hassle-free. the monthly charges of $56.15 are reasonable for the internet service i receive. i appreciate the consistency of the service and have not experienced any issues that would lead me to consider churning to a different provider. overall, i am happy with my experience as a long-term customer.",488,0.075
